"DBN","School Name","Year","Total Enrollment","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multiple Race Categories Not Represented","% Multiple Race Categories Not Represented","# White","% White","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
"01M015","P.S. 015 Roberto Clemente","2018-19","174","13","20","33","30","30","20","28","0","0","0","0","0","0","0","85","48.9%","89","51.1%","24","13.8%","48","27.6%","95","54.6%","1","0.6%","6","3.4%","38","21.8%","8","4.6%","145","83.3%","88%"
"01M019","P.S. 019 Asher Levy","2018-19","249","10","30","39","43","41","44","42","0","0","0","0","0","0","0","114","45.8%","135","54.2%","14","5.6%","52","20.9%","156","62.7%","9","3.6%","18","7.2%","92","36.9%","8","3.2%","180","72.3%","66.8%"
"01M020","P.S. 020 Anna Silver","2018-19","481","42","61","69","76","67","90","76","0","0","0","0","0","0","0","239","49.7%","242","50.3%","138","28.7%","66","13.7%","239","49.7%","16","3.3%","22","4.6%","115","23.9%","63","13.1%","316","65.7%","73.8%"
"01M034","P.S. 034 Franklin D. Roosevelt","2018-19","305","17","26","20","16","21","43","40","39","44","39","0","0","0","0","145","47.5%","160","52.5%","8","2.6%","102","33.4%","182","59.7%","4","1.3%","9","3%","114","37.4%","22","7.2%","301","98.7%","94.4%"
"01M063","The STAR Academy - P.S.63","2018-19","230","23","49","41","28","40","25","24","0","0","0","0","0","0","0","104","45.2%","126","54.8%","4","1.7%","45","19.6%","150","65.2%","9","3.9%","22","9.6%","73","31.7%","4","1.7%","176","76.5%","73.2%"
"01M064","P.S. 064 Robert Simon","2018-19","223","19","42","32","40","29","28","33","0","0","0","0","0","0","0","93","41.7%","130","58.3%","7","3.1%","41","18.4%","159","71.3%","4","1.8%","12","5.4%","62","27.8%","6","2.7%","192","86.1%","89.6%"
"01M110","P.S. 110 Florence Nightingale","2018-19","372","34","59","66","59","52","45","57","0","0","0","0","0","0","0","168","45.2%","204","54.8%","59","15.9%","37","9.9%","168","45.2%","12","3.2%","96","25.8%","46","12.4%","8","2.2%","210","56.5%","59.2%"
"01M134","P.S. 134 Henrietta Szold","2018-19","281","14","43","37","35","45","53","54","0","0","0","0","0","0","0","126","44.8%","155","55.2%","27","9.6%","73","26%","169","60.1%","3","1.1%","9","3.2%","116","41.3%","24","8.5%","259","92.2%","91.3%"
"01M140","P.S. 140 Nathan Straus","2018-19","385","12","30","32","32","26","25","29","64","67","68","0","0","0","0","188","48.8%","197","51.2%","17","4.4%","54","14%","305","79.2%","0","0%","9","2.3%","137","35.6%","43","11.2%","321","83.4%","88.5%"
"01M142","P.S. 142 Amalia Castro","2018-19","353","51","48","55","49","51","44","55","0","0","0","0","0","0","0","153","43.3%","200","56.7%","13","3.7%","55","15.6%","273","77.3%","7","2%","5","1.4%","128","36.3%","26","7.4%","338","95.8%","90.1%"
"01M184","P.S. 184m Shuang Wen","2018-19","678","36","63","64","64","50","65","62","101","88","85","0","0","0","0","337","49.7%","341","50.3%","468","69%","27","4%","89","13.1%","43","6.3%","51","7.5%","106","15.6%","99","14.6%","459","67.7%","66.2%"
"01M188","P.S. 188 The Island School","2018-19","407","16","24","37","32","49","39","55","48","54","53","0","0","0","0","181","44.5%","226","55.5%","6","1.5%","134","32.9%","249","61.2%","3","0.7%","15","3.7%","138","33.9%","30","7.4%","381","93.6%","96.2%"
"01M292","Orchard Collegiate Academy","2018-19","197","0","0","0","0","0","0","0","0","0","0","67","70","35","25","91","46.2%","106","53.8%","19","9.6%","53","26.9%","112","56.9%","7","3.6%","6","3%","55","27.9%","23","11.7%","160","81.2%","86.7%"
"01M315","The East Village Community School","2018-19","333","36","50","49","50","50","53","45","0","0","0","0","0","0","0","174","52.3%","159","47.7%","32","9.6%","15","4.5%","77","23.1%","18","5.4%","191","57.4%","52","15.6%","5","1.5%","90","27%","34.3%"
"01M332","University Neighborhood Middle School","2018-19","209","0","0","0","0","0","0","0","69","77","63","0","0","0","0","90","43.1%","119","56.9%","18","8.6%","41","19.6%","131","62.7%","2","1%","17","8.1%","92","44%","7","3.3%","176","84.2%","80.8%"
"01M361","The Children's Workshop School","2018-19","320","36","54","47","55","43","48","37","0","0","0","0","0","0","0","149","46.6%","171","53.4%","31","9.7%","33","10.3%","127","39.7%","17","5.3%","112","35%","75","23.4%","11","3.4%","154","48.1%","52.5%"
"01M363","Neighborhood School","2018-19","306","36","39","59","40","48","44","40","0","0","0","0","0","0","0","145","47.4%","161","52.6%","21","6.9%","27","8.8%","115","37.6%","14","4.6%","129","42.2%","69","22.5%","4","1.3%","124","40.5%","45%"
"01M364","Earth School","2018-19","350","36","61","54","48","48","57","46","0","0","0","0","0","0","0","157","44.9%","193","55.1%","25","7.1%","38","10.9%","141","40.3%","28","8%","118","33.7%","93","26.6%","21","6%","195","55.7%","56.8%"
"01M378","School for Global Leaders","2018-19","250","0","0","0","0","0","0","0","63","86","101","0","0","0","0","103","41.2%","147","58.8%","32","12.8%","59","23.6%","141","56.4%","8","3.2%","10","4%","95","38%","25","10%","211","84.4%","84.3%"
